Time,PolygonId,Area
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-25,LTAuNzQ4OSw0NS44Mzgy,0.46
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-13,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-13,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-05,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-13,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-12,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-12,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-12,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-12,LTAuNzcwNiw0NS44MDI,0.78
2019-02-12,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-12,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-12,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-12,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-12,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-12,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-12,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-12,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-12,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-12,LTAuNzcxNyw0NS44MDM5,0.87
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-08,LTAuOTQ3NSw0NC4yOTgz,15.5
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-12,LTAuNzkxNiw0NS44MjI4,0.52
2019-02-08,LTAuOTQ3NSw0NC4yOTgz,15.5
2019-02-08,LTAuOTQ3NSw0NC4yOTgz,15.5
2019-02-08,LTAuOTQ3NSw0NC4yOTgz,15.5
2019-02-08,LTAuOTQ3NSw0NC4yOTgz,15.5
2019-02-08,LTAuOTQ3NSw0NC4yOTgz,15.5
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
